antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
{'Restaurants', 'Nightlife', 'Food'},{'Bars'},0.06872428668987458,0.2547179239468994,0.06477672102203641,0.9425593795443528,3.70040460812191,1.0,0.04727141339166002,12.974826353565765,0.7836124909956466,0.25042660742457906,0.9229276775850508,0.598433523350728
{'Restaurants', 'Food', 'Bars'},{'Nightlife'},0.06477672102203641,0.26729350234022353,0.06477672102203641,1.0,3.741205795295217,1.0,0.04746232438994072,inf,0.7834562228396382,0.24234304408786414,1.0,0.6211715220439321
{'Restaurants', 'Nightlife', 'American Traditional'},{'Bars'},0.07369622066392391,0.2547179239468994,0.07210553492013258,0.9784156401853317,3.8411731103355735,1.0,0.053333786589885294,34.528801523528195,0.7985100376064639,0.2813231089160385,0.9710386704467981,0.6307477906664765
{'Restaurants', 'Nightlife', 'Bars'},{'American Traditional'},0.22804270699735163,0.1416792977663774,0.07210553492013258,0.31619311956759916,2.2317524476228487,1.0,0.03979660433200405,1.2552092217774542,0.7149639423622076,0.24227669576897243,0.20332006596960958,0.41256399453573944
{'Restaurants', 'American Traditional', 'Bars'},{'Nightlife'},0.07210553492013258,0.26729350234022353,0.07210553492013258,1.0,3.741205795295217,1.0,0.05283219395321505,inf,0.7896442162705536,0.26976164511606165,1.0,0.6348808225580308
{'Nightlife', 'American Traditional', 'Bars'},{'Restaurants'},0.07210553492013258,0.7334726918400319,0.07210553492013258,1.0,1.3633772751530016,1.0,0.019218094125697513,inf,0.2872388166870109,0.09830704772285996,1.0,0.54915352386143
{'Restaurants', 'Nightlife', 'American New'},{'Bars'},0.08073354764561853,0.2547179239468994,0.07847660609290938,0.9720445636476172,3.8161608283610917,1.0,0.05791232444374934,26.659647399478878,0.8027667438565245,0.3053863106040965,0.9624901265566045,0.6400683828537252
{'Restaurants', 'Nightlife', 'Bars'},{'American New'},0.22804270699735163,0.14766727184902642,0.07847660609290938,0.34413118106785484,2.330449914586972,1.0,0.04480216168554357,1.2995475673606527,0.7395464927993708,0.26402353600448314,0.23050142594551265,0.4377866440560074
{'Restaurants', 'American New', 'Bars'},{'Nightlife'},0.07847660609290938,0.26729350234022353,0.07847660609290938,1.0,3.741205795295217,1.0,0.05750031919856151,inf,0.795103523691607,0.2935971335098925,1.0,0.6467985667549463
{'Nightlife', 'American New', 'Bars'},{'Restaurants'},0.07847660609290938,0.7334726918400319,0.07847660609290938,1.0,1.3633772751530016,1.0,0.020916158575473284,inf,0.2892246793973846,0.10699322137820623,1.0,0.5534966106891032
{'Restaurants', 'Nightlife', 'Cocktail Bars'},{'Bars'},0.06835784599496977,0.2547179239468994,0.06835784599496977,1.0,3.9259113944744155,1.0,0.050945877377649204,inf,0.7999660307868344,0.2683668464933791,1.0,0.6341834232466895
{'Restaurants', 'Nightlife', 'Bars'},{'Cocktail Bars'},0.22804270699735163,0.07472891716774656,0.06835784599496977,0.2997589657439194,4.011284748995362,1.0,0.05131646143305599,1.3213608422923109,0.9724674142472222,0.29161189469570475,0.2432044540799397,0.6072515992210069
{'Restaurants', 'Cocktail Bars', 'Bars'},{'Nightlife'},0.06835784599496977,0.26729350234022353,0.06835784599496977,1.0,3.741205795295217,1.0,0.05008623792654068,inf,0.7864677381867592,0.25574076959027886,1.0,0.6278703847951395
{'Nightlife', 'Cocktail Bars', 'Bars'},{'Restaurants'},0.07472891716774656,0.7334726918400319,0.06835784599496977,0.9147442326980944,1.2471414994378511,1.0,0.013546225961651927,3.126208543946922,0.21417114417938354,0.09239497501013104,0.6801237070584315,0.5039708832530224
